#chr	start	end	gene	GM12878	HeLaS3	HMEC	HUVEC	IMR90	K562	NHEK
chr11	65601112	65624367	ENSG00000172803	0.28	0.67	0.11	0.63	0.51	0.02	0.07
chr17	72199721	72206794	ENSG00000172809	1661.45	796.17	702.16	607.31	340.45	1609.5	1001.18
chr8	65500320	65711318	ENSG00000172817	5.12	0.0	0.03	0.0	0.08	0.0	0.18
chr11	65554493	65564690	ENSG00000172818	0.0	0.0	1.67	0.0	0.0	0.0	4.21
chr12	53604354	53626764	ENSG00000172819	2.01	8.32	25.05	5.97	19.03	0.1	14.41
chr16	67022492	67043661	ENSG00000172824	1.95	0.72	3.47	1.75	3.01	0.02	3.56
chr16	66995140	67009051	ENSG00000172828	0.54	4.17	1.43	0.1	0.02	0.04	0.87
chr11	67070919	67080078	ENSG00000172830	0.26	28.36	25.03	3.3	17.23	0.01	13.9
chr16	66968347	66978999	ENSG00000172831	15.45	19.22	68.38	5.32	14.94	2.69	23.38
chr16	66912492	66929657	ENSG00000172840	1.75	2.55	13.65	1.88	3.47	1.7	9.13
chr2	174771187	174830430	ENSG00000172845	22.69	9.61	14.81	11.61	13.14	11.85	24.32
chr12	53038342	53045948	ENSG00000172867	0.0	0.0	0.0	0.0	0.0	0.12	0.39
chr5	118373467	118584833	ENSG00000172869	17.37	9.68	3.93	12.35	5.22	8.62	7.58
chr2	172864490	172947158	ENSG00000172878	5.12	1.56	2.09	2.39	3.55	8.12	2.86
chr3	40566369	40616176	ENSG00000172888	3.42	3.95	4.93	3.07	3.9	2.61	5.2
chr9	139553308	139567130	ENSG00000172889	0.13	7.45	6.37	85.15	6.7	7.16	2.36
chr11	71164155	71235153	ENSG00000172890	39.89	57.3	38.81	37.11	45.14	10.26	29.11
chr11	71139239	71163914	ENSG00000172893	31.85	12.75	124.56	34.12	27.9	11.29	82.43
chr11	71093647	71134469	ENSG00000172900	0.0	0.0	0.05	0.0	0.0	0.0	0.0
chr5	115298151	115363316	ENSG00000172901	0.05	0.05	0.02	0.05	0.07	2.83	0.05
chr22	40965290	40965899	ENSG00000172912	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13	35516424	36247159	ENSG00000172915	0.12	0.75	0.13	1.6	0.58	0.0	0.04
chr11	65482367	65488418	ENSG00000172922	94.46	31.11	28.41	22.49	27.21	5.47	10.02
chr11	69061605	69182494	ENSG00000172927	0.0	0.57	0.42	4.63	3.73	8.75	0.76
chr11	67056018	67069956	ENSG00000172932	10.26	15.79	20.77	11.01	24.73	0.95	14.12
chr11	68771863	68780877	ENSG00000172935	0.01	0.0	0.06	0.0	18.6	0.0	0.0
chr3	38179969	38184513	ENSG00000172936	47.3	5.92	14.77	45.75	25.05	16.15	24.81
chr11	68747490	68748455	ENSG00000172938	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	38206580	38296979	ENSG00000172939	10.32	14.8	26.15	10.0	21.26	19.54	43.31
chr3	38307303	38319806	ENSG00000172940	0.0	0.09	0.05	0.0	0.08	0.06	0.05
chrX	53963109	54075391	ENSG00000172943	9.17	22.28	5.22	27.01	8.26	1.99	3.35
chr2	30670092	30867091	ENSG00000172954	14.5	2.21	12.35	1.35	4.82	24.21	9.68
chr4	100123795	100140694	ENSG00000172955	0.0	0.0	0.0	0.0	0.0	0.25	0.0
chr2	111953927	112252677	ENSG00000172965	2.2	26.1	91.31	118.17	177.25	177.27	97.46
chr22	17264302	17302589	ENSG00000172967	0.03	0.0	0.0	0.0	0.0	4.1	0.0
chr3	75713481	75716371	ENSG00000172969	0.0	0.0	0.0	0.0	0.01	0.01	0.0
chr3	75668657	75673000	ENSG00000172971	0.64	0.2	0.16	0.0	0.09	0.0	0.02
chr2	65432137	65433396	ENSG00000172974	6.12	8.16	3.22	2.98	1.36	6.13	1.54
chr11	65479467	65487075	ENSG00000172977	25.56	33.97	17.08	15.19	22.03	6.39	15.08
chr2	109745804	110262207	ENSG00000172985	0.99	0.66	0.32	7.88	7.17	0.0	0.09
chr3	72937224	73047289	ENSG00000172986	0.69	0.67	4.16	0.01	3.67	0.69	0.76
chr10	100218875	100995619	ENSG00000172987	0.06	0.0	0.0	0.0	0.0	0.03	0.0
chr17	43100708	43138473	ENSG00000172992	30.2	12.21	22.79	4.88	22.2	7.65	11.51
chr3	35680437	35835988	ENSG00000172995	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	7043626	7059679	ENSG00000173011	0.92	5.58	4.82	6.27	5.54	0.81	3.01
chr4	7042579	7044728	ENSG00000173013	0.15	0.64	0.62	1.9	0.94	0.01	0.33
chr11	67033881	67054027	ENSG00000173020	19.55	116.97	27.14	50.46	27.01	0.26	12.07
chr11	65421067	65430565	ENSG00000173039	20.01	69.8	24.65	44.73	34.43	5.22	11.4
chr4	5544499	5711275	ENSG00000173040	3.82	0.0	0.57	5.11	1.74	0.01	0.93
chr7	63980262	64023484	ENSG00000173041	5.83	4.43	1.31	1.43	0.94	11.17	2.51
chr12	112597992	112819896	ENSG00000173064	7.31	12.73	3.66	15.06	8.31	3.27	4.31
chr17	27082996	27182250	ENSG00000173065	10.12	5.8	18.43	17.7	7.3	3.71	3.67
chr9	16409501	16870841	ENSG00000173068	0.15	1.28	0.04	18.23	10.72	0.02	0.69
chr9	117904097	118164923	ENSG00000173077	1.19	0.0	0.04	0.0	0.03	0.0	0.52
chr1	155911480	155912625	ENSG00000173080	0.07	0.31	0.05	0.04	0.0	0.0	0.0
chr4	84213614	84256306	ENSG00000173083	0.45	0.73	3.68	3.76	0.06	0.01	3.26
chr4	84182689	84206067	ENSG00000173085	32.14	8.68	12.19	20.84	4.77	2.4	16.38
chr12	111284573	111345339	ENSG00000173093	0.0	0.0	0.03	0.0	0.0	0.02	0.01
chr1	161494036	161496681	ENSG00000173110	4.26	0.69	0.51	0.04	0.39	0.1	0.13
chr11	64083932	64085556	ENSG00000173113	296.33	41.2	250.31	32.99	110.42	240.02	229.08
chr7	110731062	110765510	ENSG00000173114	0.2	0.03	0.02	0.0	4.43	0.1	0.0
chr11	66886740	67025558	ENSG00000173120	10.57	44.88	33.83	46.43	27.24	4.6	16.42
chr10	96953957	96988685	ENSG00000173124	0.19	0.0	0.0	0.04	0.0	0.0	0.0
chr8	145596790	145618457	ENSG00000173137	10.69	2.08	7.52	1.64	7.48	0.18	3.34
chr13	21750784	21753223	ENSG00000173141	60.35	9.41	8.98	13.59	5.15	7.96	10.32
chr10	96075004	96122716	ENSG00000173145	29.12	40.74	8.68	40.22	8.54	33.34	9.93
chr11	64073044	64084215	ENSG00000173153	3.72	13.04	24.94	2.61	9.67	0.57	11.69
chr11	66824289	66839484	ENSG00000173156	1.31	31.15	176.04	12.12	7.0	0.0	66.64
chr12	43747669	43945724	ENSG00000173157	0.0	0.0	0.0	0.0	0.0	0.04	0.0
chr2	62115859	62374382	ENSG00000173163	62.67	5.96	24.4	23.1	27.75	41.95	22.9
chr2	204259068	204400133	ENSG00000173166	0.01	5.57	4.33	20.75	4.67	0.02	1.63
chr1	155178490	155183615	ENSG00000173171	52.25	15.84	58.93	10.73	47.5	40.24	24.42
chr3	123001143	123168605	ENSG00000173175	0.13	0.11	0.04	0.0	0.09	0.01	0.0
chr3	122399465	122449687	ENSG00000173193	23.6	41.97	4.26	44.43	4.9	2.08	12.28
chrX	77526961	77583048	ENSG00000173198	12.7	0.08	0.0	0.03	0.01	0.0	0.0
chr3	122296449	122357894	ENSG00000173200	9.71	0.0	0.04	0.86	0.06	0.08	0.14
chr1	154947129	154951725	ENSG00000173207	283.01	43.01	202.57	16.34	125.63	743.25	168.04
chr12	39943835	40013553	ENSG00000173208	3.94	0.0	0.03	0.0	0.0	0.04	0.01
chr2	61404553	61418338	ENSG00000173209	17.55	294.58	8.59	52.74	15.34	7.12	17.17
chr5	148521046	148640105	ENSG00000173210	0.01	3.92	19.28	12.41	47.46	0.08	4.42
chr1	116654376	116677861	ENSG00000173212	0.27	0.92	0.16	0.0	0.0	0.0	0.16
chr18	47225	73545	ENSG00000173213	0.0	0.0	0.43	0.0	0.02	0.0	0.2
chr6	111580551	111592370	ENSG00000173214	1.4	0.94	1.34	0.56	1.29	0.31	2.45
chr1	116184574	116240845	ENSG00000173218	8.14	37.2	11.98	37.32	4.37	0.87	12.73
chr5	95087023	95158709	ENSG00000173221	120.81	43.35	5.97	13.69	121.96	7.02	8.84
chr3	121488610	121553926	ENSG00000173226	32.31	52.66	5.78	13.0	8.7	22.55	8.26
chr11	66774249	66818334	ENSG00000173227	0.28	4.48	0.78	0.0	0.48	0.0	0.03
chr3	121382046	121468602	ENSG00000173230	22.05	38.35	5.38	53.41	8.67	4.35	12.24
chr21	15148407	15149587	ENSG00000173231	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	66742748	66744475	ENSG00000173237	0.0	4.99	0.0	0.0	0.01	0.0	0.01
chr10	90562487	90580303	ENSG00000173239	0.0	0.0	0.0	0.0	0.0	0.0	0.33
chr5	145892666	145895753	ENSG00000173250	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr9	1050354	1057552	ENSG00000173253	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr9	114287439	114340124	ENSG00000173258	0.11	0.0	0.42	0.35	0.07	0.19	0.51
chr5	145463949	145483932	ENSG00000173261	0.0	0.0	0.08	0.0	0.18	0.08	0.39
chr12	7965108	8043744	ENSG00000173262	0.16	0.08	0.08	0.22	0.03	5.57	0.27
chr11	64037534	64056972	ENSG00000173264	12.31	9.2	8.92	5.62	16.77	0.25	3.73
chr10	88718375	88723017	ENSG00000173267	0.0	1.01	72.36	9.39	12.27	18.96	3.8
chr10	88695297	88729238	ENSG00000173269	0.01	0.82	8.32	88.22	1.06	0.14	7.75
chr2	132222473	132250316	ENSG00000173272	124.67	27.38	73.04	7.93	53.04	8.69	46.43
chr8	9413424	9639856	ENSG00000173273	5.49	13.91	6.07	12.76	5.59	2.93	8.38
chrX	134478721	134497077	ENSG00000173275	1.32	5.72	1.97	10.81	3.25	3.38	3.21
chr21	43406940	43430496	ENSG00000173276	7.06	7.84	4.81	4.64	4.42	2.37	5.39
chr8	8993765	9009084	ENSG00000173281	0.86	4.15	3.3	7.12	2.46	0.65	3.36
chr1	158435272	158436344	ENSG00000173285	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr8	8086117	8102387	ENSG00000173295	1.37	0.69	2.07	1.06	2.81	1.32	1.55
chr2	131486643	131487909	ENSG00000173302	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	184774584	184944679	ENSG00000173320	0.0	0.33	1.27	0.0	0.73	0.0	0.85
chr11	65365226	65382853	ENSG00000173327	13.34	44.89	16.2	92.58	24.04	0.87	7.74
chr8	126442563	126450647	ENSG00000173334	1.02	12.96	13.55	5.52	10.25	1.51	10.26
chr20	23583047	23586513	ENSG00000173335	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	65360326	65363467	ENSG00000173338	0.21	0.99	0.15	0.0	0.06	0.0	0.26
chr2	128458597	128461385	ENSG00000173349	0.0	2.91	1.97	0.46	2.51	0.0	1.75
chr3	52255097	52265206	ENSG00000173366	1.81	0.0	0.0	0.0	0.09	0.0	0.01
chr1	22979255	22988031	ENSG00000173369	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	22962999	22966101	ENSG00000173372	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4	121956768	121994176	ENSG00000173376	0.0	0.0	0.0	0.0	0.04	0.0	0.0
chr3	51928892	51937351	ENSG00000173389	0.0	0.0	0.12	0.07	0.0	0.0	0.0
chr12	10310902	10324737	ENSG00000173391	0.0	21.37	0.08	0.0	2.67	0.0	0.09
chr12	75728419	75764340	ENSG00000173401	0.09	0.14	0.0	0.0	0.0	0.05	0.0
chr3	49506146	49573048	ENSG00000173402	5.38	9.74	36.71	7.24	25.96	0.17	12.36
chr20	20348765	20351590	ENSG00000173404	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	57460451	59012406	ENSG00000173406	0.04	0.5	0.0	0.0	0.29	0.0	0.01
chr1	231114727	231136341	ENSG00000173409	31.37	6.01	15.65	4.86	14.73	55.91	21.45
chr20	19997760	20014299	ENSG00000173418	122.63	21.24	73.1	30.42	37.78	256.95	114.64
chr3	49235861	49295537	ENSG00000173421	0.0	0.0	0.01	1.21	0.03	0.01	0.0
chr14	21525981	21526614	ENSG00000173431	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	18287721	18291524	ENSG00000173432	0.14	0.0	78.71	0.0	0.0	0.0	14.78
chr1	19923477	19956314	ENSG00000173436	469.14	17.93	71.98	43.66	20.85	839.32	112.99
chr11	65343509	65360121	ENSG00000173442	1.48	284.5	12.68	23.2	17.61	0.03	5.85
chr12	72056789	72074419	ENSG00000173451	8.86	3.44	0.83	3.38	1.6	12.78	2.47
chr7	19758933	19813221	ENSG00000173452	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	119205237	119208023	ENSG00000173456	34.92	3.85	28.06	3.17	23.69	4.22	7.45
chr11	64011956	64014413	ENSG00000173457	26.81	413.48	187.58	362.76	161.9	11.68	114.57
chr14	21051054	21078043	ENSG00000173464	0.0	0.0	0.0	0.0	0.0	0.13	0.0
chr11	65337901	65341413	ENSG00000173465	75.29	6.89	43.25	9.99	58.27	50.05	18.92
chr7	16899029	16921611	ENSG00000173467	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	47626762	47823596	ENSG00000173473	78.72	106.53	17.24	97.51	12.08	18.68	22.61
chr19	58411664	58427978	ENSG00000173480	3.0	2.84	1.54	1.86	2.59	0.42	3.28
chr18	7566780	8406859	ENSG00000173482	0.73	44.13	28.1	20.36	29.81	0.0	30.83
chr11	64008475	64011604	ENSG00000173486	59.27	13.35	40.07	8.53	49.27	23.09	22.67
chr11	64002010	64006259	ENSG00000173511	7.34	34.15	14.65	11.24	16.13	9.36	5.58
chr15	77400471	77712486	ENSG00000173517	2.51	7.0	6.52	23.44	14.65	1.41	3.43
chr8	22993101	23021543	ENSG00000173530	3.74	12.44	23.12	32.82	85.29	0.0	10.32
chr3	49721380	49726934	ENSG00000173531	1.24	19.91	3.92	1.72	8.2	0.08	2.86
chr8	22941868	22974950	ENSG00000173535	3.67	1.19	0.28	24.1	0.93	0.03	0.92
chr3	49754277	49761384	ENSG00000173540	51.22	6.36	28.75	8.18	16.4	0.63	9.84
chr4	71768043	71888166	ENSG00000173542	2.54	5.86	6.78	10.88	4.4	8.22	8.89
chr5	16451628	16465901	ENSG00000173545	39.9	96.93	15.14	39.37	12.58	8.06	13.0
chr15	75966663	76005189	ENSG00000173546	0.41	17.11	4.24	0.04	18.35	0.0	0.38
chr15	75940247	75954642	ENSG00000173548	0.11	25.34	17.25	2.3	9.44	1.17	12.29
chr2	26785450	26802400	ENSG00000173557	0.0	0.0	0.23	0.22	0.0	0.0	0.02
chr2	192542794	192561385	ENSG00000173559	36.37	21.56	9.66	47.75	47.63	13.56	16.56
chr2	26531041	26569685	ENSG00000173567	0.93	0.17	0.05	0.05	0.1	0.03	0.09
chr19	56403065	56443702	ENSG00000173572	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr15	93426526	93571237	ENSG00000173575	30.91	122.51	5.99	113.34	12.19	48.23	15.74
chr3	46058516	46069234	ENSG00000173578	0.0	0.02	0.0	0.0	0.0	0.0	0.01
chr19	56152428	56164527	ENSG00000173581	15.01	6.27	1.47	3.95	8.8	0.06	1.76
chr3	45927996	45944667	ENSG00000173585	0.48	0.09	0.0	0.04	0.01	0.02	0.0
chr12	94700225	94853764	ENSG00000173588	5.66	27.47	3.88	29.01	5.69	5.76	5.29
chr4	70586880	70653679	ENSG00000173597	0.0	0.05	0.14	25.09	0.03	0.0	0.22
chr12	93771659	93797024	ENSG00000173598	7.13	27.33	22.68	76.77	18.99	34.07	23.88
chr11	66615704	66725847	ENSG00000173599	7.55	38.81	25.41	4.18	10.04	0.8	7.28
chr4	70454135	70518965	ENSG00000173610	0.0	0.0	0.0	0.0	0.0	0.03	0.01
chr9	127704887	127905785	ENSG00000173611	2.53	3.2	0.91	0.77	2.36	0.69	1.72
chr6	117113248	117150200	ENSG00000173612	0.02	0.0	0.0	0.0	0.0	0.01	0.0
chr1	10003486	10045559	ENSG00000173614	11.85	2.34	6.74	5.31	5.9	11.41	9.13
chr11	66624118	66627946	ENSG00000173621	1.02	5.38	8.08	1.68	12.2	0.08	0.63
chr6	116816152	116866773	ENSG00000173626	0.0	0.75	0.13	0.06	0.02	0.01	0.18
chr1	183615541	183622451	ENSG00000173627	0.01	0.0	0.0	0.0	0.0	0.0	0.0
chr21	46913486	46964325	ENSG00000173638	25.62	7.86	8.34	12.83	11.62	1.29	2.26
chr1	16340523	16346089	ENSG00000173641	0.13	0.11	0.0	0.0	1.96	0.0	0.03
chr11	66610306	66614017	ENSG00000173653	16.04	6.97	14.98	5.57	12.68	1.98	6.27
chr1	46769303	46782448	ENSG00000173660	393.43	342.81	486.75	172.68	473.97	2990.33	544.45
chr1	6615241	6639817	ENSG00000173662	0.0	0.0	0.04	0.0	0.04	0.0	0.0
chr1	6304252	6305638	ENSG00000173673	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	20142636	20159962	ENSG00000173674	162.63	88.78	60.04	73.99	28.91	44.77	111.13
chr7	102290772	102301847	ENSG00000173678	0.19	1.38	0.0	0.92	0.0	0.01	0.0
chr9	125423845	125424927	ENSG00000173679	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chrX	19930978	19988416	ENSG00000173681	0.92	6.66	0.47	5.51	1.02	0.63	1.72
chr2	231921578	232037541	ENSG00000173692	112.2	15.77	123.51	118.48	57.93	122.45	147.91
chrX	19007427	19140755	ENSG00000173698	0.02	0.26	0.15	0.08	0.04	0.02	0.11
chr2	231860836	231889770	ENSG00000173699	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	124624289	124672663	ENSG00000173702	0.0	6.1	0.0	0.0	0.0	0.01	0.0
chr3	33191537	33260707	ENSG00000173705	0.12	0.0	0.26	28.09	0.89	0.0	0.03
chr3	124684554	124774802	ENSG00000173706	1.19	34.26	15.5	64.1	30.37	0.01	7.18
chr17	48912011	48919709	ENSG00000173714	0.0	0.0	0.0	0.0	0.01	0.0	0.0
chr11	66511922	66610987	ENSG00000173715	4.41	12.97	14.47	6.95	5.74	0.14	14.75
chr1	235272651	235292251	ENSG00000173726	51.21	135.57	39.41	35.61	54.41	102.25	81.64
chr11	65222728	65234028	ENSG00000173727	7.11	0.0	0.0	0.31	0.18	3.52	0.09
chr1	244515937	244552965	ENSG00000173728	0.0	0.29	0.0	0.19	0.0	4.59	0.0
chr2	228336868	228425930	ENSG00000173744	5.54	22.1	87.83	33.5	37.81	13.17	62.59
chr17	40351186	40428725	ENSG00000173757	19.52	65.71	9.62	16.66	19.17	19.82	9.21
chr17	80272744	80275478	ENSG00000173762	0.05	0.26	0.0	0.0	0.0	0.0	0.0
chr3	44283378	44373590	ENSG00000173769	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr17	40118759	40129749	ENSG00000173786	36.95	41.1	29.18	61.15	31.01	2.44	18.35
chr17	39775692	39943183	ENSG00000173801	8.19	42.2	160.92	17.12	17.6	5.59	86.09
chr17	39873994	39890896	ENSG00000173805	0.0	0.0	0.51	0.08	0.05	0.0	0.89
chr19	33210659	33320483	ENSG00000173809	0.01	0.0	0.03	0.05	0.04	0.02	0.02
chr1	101736431	101736919	ENSG00000173810	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr3	42774067	42788260	ENSG00000173811	0.0	0.0	0.0	0.03	0.0	0.03	0.0
chr17	39845137	39848920	ENSG00000173812	576.62	696.26	83.95	445.77	265.97	917.96	173.67
chr17	78388965	78411886	ENSG00000173818	9.63	10.9	10.38	3.47	19.57	2.17	6.14
chr17	78234665	78372586	ENSG00000173821	28.33	101.82	18.58	69.63	15.3	4.81	14.45
chr11	65122238	65125084	ENSG00000173825	0.72	0.86	0.03	0.1	0.08	0.04	0.01
chr17	61600695	61626338	ENSG00000173826	0.03	0.0	0.0	0.0	0.11	0.0	0.0
chr17	60778675	60885705	ENSG00000173838	0.05	0.0	0.02	0.0	0.47	0.0	0.0
chr1	45265897	45271662	ENSG00000173846	2.01	13.47	39.18	26.18	33.27	0.96	19.06
chr10	5454514	5500426	ENSG00000173848	12.25	24.76	11.37	20.81	13.95	34.62	128.13
chr7	34968488	35077883	ENSG00000173852	0.3	15.87	8.47	50.17	7.75	3.83	16.72
chr7	33765593	33768068	ENSG00000173862	0.0	0.0	0.0	0.43	0.03	0.0	0.01
chr15	89002948	89055760	ENSG00000173867	0.04	1.8	0.05	0.32	0.47	0.27	0.06
chr17	47300724	47308128	ENSG00000173868	0.52	0.28	0.07	0.14	0.31	0.0	0.02
chr19	12721732	12742735	ENSG00000173875	6.24	8.37	4.65	4.73	4.67	9.79	5.98
chr3	169804520	169899537	ENSG00000173889	36.19	7.19	30.12	3.14	12.06	5.12	18.21
chr3	169755717	169803191	ENSG00000173890	36.51	2.06	0.24	0.5	0.06	1.41	0.13
chr17	77751931	77761782	ENSG00000173894	2.94	13.15	2.62	4.26	2.08	0.66	0.98
chr11	66452719	66496697	ENSG00000173898	0.07	69.1	6.56	11.77	0.24	0.29	4.01
chr3	167726465	167813763	ENSG00000173905	16.84	77.83	16.6	173.07	28.91	9.8	7.56
chr17	38948455	38956211	ENSG00000173908	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	66432469	66445392	ENSG00000173914	20.84	20.57	15.63	13.92	17.25	28.51	11.76
chr10	105148798	105156223	ENSG00000173915	678.64	68.39	180.24	90.58	46.86	1034.95	418.88
chr17	46618256	46623441	ENSG00000173917	2.64	0.0	3.84	3.64	20.12	1.4	1.23
chr17	77018896	77045870	ENSG00000173918	0.03	0.57	7.5	0.14	5.47	0.0	3.75
chr5	126203406	126366500	ENSG00000173926	11.37	0.17	4.47	12.2	7.2	5.99	0.25
chr19	11485361	11487627	ENSG00000173928	4.36	0.16	1.33	0.41	1.0	0.4	1.16
chr5	101569690	101632253	ENSG00000173930	0.0	0.0	0.02	0.0	0.0	0.03	0.01
chr11	66384097	66434153	ENSG00000173933	95.46	74.99	132.35	110.14	108.33	160.2	107.26
chr1	111888910	111895635	ENSG00000173947	0.27	0.0	0.77	0.0	0.01	0.05	0.89
chr3	194789008	194991896	ENSG00000173950	5.51	6.16	9.97	19.25	12.72	2.4	6.62
chrX	138444199	138444541	ENSG00000173954	0.1	0.0	0.0	0.0	0.0	0.0	0.0
chr2	24150155	24227779	ENSG00000173960	16.76	37.42	5.83	39.13	3.07	4.06	6.95
chr4	54441880	54442554	ENSG00000173966	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr19	3769087	3772233	ENSG00000173976	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr13	46786083	46851501	ENSG00000173988	0.26	0.0	0.02	0.0	0.0	0.2	0.01
chr17	37820440	37822808	ENSG00000173991	0.0	0.11	0.07	0.05	0.13	0.01	0.11
chr11	66360292	66373490	ENSG00000173992	29.42	17.47	15.56	10.78	34.1	1.95	9.9
chr3	196366557	196388875	ENSG00000174004	3.25	0.0	0.17	1.05	0.07	0.13	0.02
chr3	196433148	196439164	ENSG00000174007	3.01	3.45	1.07	1.32	0.89	3.53	1.72
chrX	24001837	24045303	ENSG00000174010	2.32	6.18	1.83	0.94	1.52	2.53	1.9
chr3	196295482	196315930	ENSG00000174013	1.92	14.4	5.56	10.34	2.46	14.02	10.1
chr13	46276446	46288694	ENSG00000174015	0.15	0.0	0.0	0.0	0.0	0.0	0.0
chrX	79591003	79700810	ENSG00000174016	0.0	0.0	0.0	0.0	0.0	0.09	0.0
chr1	84964008	84972248	ENSG00000174021	397.37	31.16	63.88	45.08	82.51	162.87	93.66
chrX	23093875	23094884	ENSG00000174028	5.22	3.33	12.05	7.81	10.47	0.16	26.83
chr13	45967451	45992590	ENSG00000174032	6.01	2.01	10.69	32.0	6.13	1.16	13.54
chr9	35041092	35045988	ENSG00000174038	0.24	0.11	0.0	0.1	0.0	0.04	0.0
chr1	208057594	208084747	ENSG00000174059	0.0	0.0	0.02	4.13	0.08	0.01	0.02
chr11	66330934	66336312	ENSG00000174080	0.25	45.13	2.76	21.65	10.33	0.49	1.84
chr12	65672423	65882024	ENSG00000174099	1.38	1.85	7.1	17.45	22.61	0.0	7.47
chr12	65563351	65642107	ENSG00000174106	8.19	8.18	6.74	8.05	3.53	6.13	12.29
chr16	1469745	1479345	ENSG00000174109	36.44	2.21	19.6	3.89	11.11	1.93	11.59
chr4	38773860	38784611	ENSG00000174123	29.58	0.0	0.0	0.0	0.0	0.01	0.03
chr4	38792298	38858438	ENSG00000174125	11.97	0.0	0.28	0.19	0.15	0.13	0.41
chr4	38825336	38858438	ENSG00000174130	1.43	4.14	0.39	0.55	0.9	0.6	0.73
chr5	99871009	99922445	ENSG00000174132	8.49	5.46	5.75	3.44	6.56	0.27	9.73
chr5	98104354	98134347	ENSG00000174136	4.57	8.33	8.05	14.78	84.19	0.0	9.16
chr4	1619642	1686029	ENSG00000174137	0.08	0.34	0.46	0.5	2.02	0.0	0.28
chr4	37245842	37451087	ENSG00000174145	0.0	0.0	0.0	0.0	0.0	0.0	0.06
chr1	110036674	110045554	ENSG00000174151	1.74	2.26	3.35	1.88	5.23	0.51	2.79
chr6	52761437	52774483	ENSG00000174156	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	66288108	66313709	ENSG00000174165	9.77	2.35	7.82	1.16	10.57	0.25	3.27
chr15	42184991	42190773	ENSG00000174171	4.29	0.24	0.59	2.75	0.0	0.22	0.03
chr3	101280706	101285290	ENSG00000174173	45.11	11.39	17.16	13.77	8.8	79.87	20.0
chr1	169558087	169599431	ENSG00000174175	0.0	0.0	0.0	3.23	0.0	0.0	0.05
chr16	88772871	88781794	ENSG00000174177	23.9	9.05	9.2	21.86	11.85	2.09	3.46
chr15	41913422	42062141	ENSG00000174197	11.32	36.5	2.63	18.66	1.97	4.7	3.55
chr12	64580096	64616076	ENSG00000174206	5.44	2.35	4.1	0.73	1.55	1.52	3.59
chrX	100224697	100245818	ENSG00000174225	0.0	0.0	0.0	0.15	0.0	0.0	0.0
chr8	101585116	101675643	ENSG00000174226	0.0	0.0	0.01	0.0	0.0	0.0	0.0
chr4	492989	533985	ENSG00000174227	20.16	26.03	27.42	18.01	20.48	7.75	38.68
chr17	1553923	1588176	ENSG00000174231	138.75	398.67	94.65	449.74	102.86	174.45	54.67
chr12	49159975	49182820	ENSG00000174233	0.0	19.35	9.19	8.64	22.04	0.07	7.37
chr12	27849428	27850566	ENSG00000174236	0.0	0.31	0.69	1.26	0.29	0.0	0.98
chr17	1421012	1466110	ENSG00000174238	3.24	61.99	33.43	156.57	25.93	8.23	43.98
chr12	49223547	49246625	ENSG00000174243	44.94	260.09	38.37	228.81	39.9	61.04	32.58
chr3	113953483	113956425	ENSG00000174255	0.0	0.0	0.0	0.0	0.01	0.02	0.0
chr11	64883875	64885170	ENSG00000174276	11.36	2.28	4.97	0.7	3.75	0.07	1.47
chr2	176942200	176948641	ENSG00000174279	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr17	7362685	7387582	ENSG00000174282	1.98	5.84	15.16	4.9	13.3	1.11	11.96
chr17	7283853	7293093	ENSG00000174292	0.49	1.9	13.53	0.1	0.3	0.22	6.38
chr20	39807088	39946312	ENSG00000174306	1.44	4.3	10.78	10.59	15.82	1.09	9.13
chr1	201434620	201438365	ENSG00000174307	33.97	5.33	85.76	13.06	70.41	0.0	27.12
chr2	189598882	189654831	ENSG00000174325	0.0	0.0	0.0	0.0	0.0	0.0	0.0
